ID;Name;Tag;total_pop;aristocrats_pc;aristocrats_bd;capitalists_pc;capitalists_bd;bureaucrats_pc;bureaucrats_bd;officers_pc;officers_bd;soldiers_pc;soldiers_bd;clergymen_pc;clergymen_bd;artisans_pc;artisans_bd;clerks_pc;clerks_bd;craftsmen_pc;craftsmen_bd;slaves_pc;slaves_bd;farmers_labourers_pc;farmers_labourers_bd;comment
259;Holy Vision VII;HOP;51500;1.14;100 paranid;;;0.73;100 paranid;0.116;100 paranid;1.05;100 paranid;1.38;100 paranid;15.72;100 paranid;;;;;4.84;46 paranid 22 split 14 teladi 18 argon;rest;100 paranid;
260;Holy Vision VIII;HOP;50750;2.89;100 paranid;;;0.78;100 paranid;0.129;100 paranid;1.92;100 paranid;1.24;100 paranid;16.87;100 paranid;;;;;1.16;38 paranid 22 boron 19 argon 21 teladi;rest;100 paranid;
261;Holy Vision IX;HOP;49750;2.34;100 paranid;;;0.88;100 paranid;0.134;100 paranid;1.37;100 paranid;1.3;100 paranid;16.32;100 paranid;;;;;3.22;49 paranid 22 argon 13 teladi 16 boron;rest;100 paranid;
262;Holy Vision X;HOP;41250;2.89;100 paranid;;;0.89;100 paranid;0.092;100 paranid;1.22;100 paranid;1.11;100 paranid;16.0;100 paranid;;;;;2.66;46 paranid 13 split 20 argon 21 boron;rest;100 paranid;
263;Holy Vision XI;HOP;43500;2.97;100 paranid;;;0.8;100 paranid;0.14;100 paranid;1.89;100 paranid;1.16;100 paranid;17.17;100 paranid;;;;;2.35;46 paranid 17 teladi 18 split 19 boron;rest;100 paranid;
264;Holy Vision XII;HOP;42500;3.42;100 paranid;;;0.73;100 paranid;0.086;100 paranid;1.81;100 paranid;1.19;100 paranid;16.56;100 paranid;;;;;3.53;44 paranid 16 argon 22 split 18 teladi;rest;100 paranid;
265;Pontifex's Claim I;HOP;62500;3.88;100 paranid;;;0.62;100 paranid;0.139;100 paranid;1.61;100 paranid;1.21;100 paranid;19.26;100 paranid;;;;;1.97;41 paranid 19 boron 16 teladi 24 split;rest;100 paranid;
266;Pontifex's Claim II;HOP;61250;3.05;100 paranid;;;0.85;100 paranid;0.117;100 paranid;1.3;100 paranid;1.15;100 paranid;18.83;100 paranid;;;;;4.26;46 paranid 19 teladi 21 split 14 argon;rest;100 paranid;
267;Pontifex's Claim III;HOP;54500;1.6;100 paranid;;;0.72;100 paranid;0.056;100 paranid;1.11;100 paranid;1.23;100 paranid;18.14;100 paranid;;;;;1.92;42 paranid 16 argon 23 boron 19 split;rest;100 paranid;
268;Pontifex's Claim IV;HOP;53250;2.43;100 paranid;;;0.71;100 paranid;0.142;100 paranid;1.13;100 paranid;1.13;100 paranid;17.43;100 paranid;;;;;1.3;43 paranid 21 teladi 14 boron 22 split;rest;100 paranid;
269;Pontifex's Claim V;HOP;51250;1.54;100 paranid;;;0.62;100 paranid;0.127;100 paranid;1.61;100 paranid;1.27;100 paranid;18.75;100 paranid;;;;;4.02;45 paranid 19 argon 23 boron 13 split;rest;100 paranid;
270;Pontifex's Claim VI;HOP;42250;1.03;100 paranid;;;0.61;100 paranid;0.105;100 paranid;1.91;100 paranid;1.39;100 paranid;16.9;100 paranid;;;;;3.0;40 paranid 15 split 22 boron 23 argon;rest;100 paranid;
271;Pious Mists I;GOD;18500;2.42;100 paranid;;;0.72;100 paranid;0.146;100 paranid;1.64;100 paranid;1.36;100 paranid;15.86;100 paranid;;;;;1.98;58 paranid 20 boron 22 argon;rest;100 paranid;
272;Pious Mists II;GOD;16750;3.14;100 paranid;;;0.89;100 paranid;0.139;100 paranid;1.26;100 paranid;1.29;100 paranid;15.71;100 paranid;;;;;4.67;58 paranid 21 boron 21 split;rest;100 paranid;
273;Pious Mists III;GOD;15500;1.54;100 paranid;;;0.82;100 paranid;0.13;100 paranid;1.16;100 paranid;1.39;100 paranid;15.63;100 paranid;;;;;1.74;62 paranid 20 teladi 18 boron;rest;100 paranid;
274;Pious Mists IV;GOD;12250;1.82;100 paranid;;;0.81;100 paranid;0.126;100 paranid;1.84;100 paranid;1.32;100 paranid;13.0;100 paranid;;;;;3.85;54 paranid 24 teladi 22 argon;rest;100 paranid;
275;Pious Mists V;GOD;13500;2.04;100 paranid;;;0.8;100 paranid;0.122;100 paranid;1.76;100 paranid;1.29;100 paranid;14.92;100 paranid;;;;;1.66;49 paranid 30 teladi 21 argon;rest;100 paranid;
276;Pious Mists VI;GOD;14550;3.09;100 paranid;;;0.68;100 paranid;0.062;100 paranid;1.49;100 paranid;1.24;100 paranid;12.89;100 paranid;;;;;2.76;54 paranid 18 argon 28 boron;rest;100 paranid;
277;Pious Mists VII;GOD;16650;2.56;100 paranid;;;0.65;100 paranid;0.109;100 paranid;1.59;100 paranid;1.12;100 paranid;15.94;100 paranid;;;;;2.45;50 paranid 29 argon 21 teladi;rest;100 paranid;
278;Moo Kye's Revenge I;;1250;2.04;100 paranid;;;0.16;100 paranid;0.051;100 paranid;0.29;50 paranid 50 teladi;0.7;100 paranid;7.52;50 paranid 50 teladi;;;;;1.09;73 paranid 27 argon;rest;50 paranid 50 teladi;
279;Moo Kye's Revenge II;;850;2.39;100 paranid;;;0.11;100 paranid;0.101;100 paranid;0.35;55 paranid 45 teladi;0.7;100 paranid;7.01;55 paranid 45 teladi;;;;;2.92;100 paranid;rest;55 paranid 45 teladi;
280;Moo Kye's Revenge III;;950;1.48;100 paranid;;;0.16;100 paranid;0.067;100 paranid;0.98;60 paranid 40 teladi;0.65;100 paranid;7.21;60 paranid 40 teladi;;;;;2.83;100 paranid;rest;60 paranid 40 teladi;
281;Moo Kye's Revenge IV;;1300;2.48;100 paranid;;;0.15;100 paranid;0.12;100 paranid;0.27;65 paranid 35 teladi;0.59;100 paranid;8.54;65 paranid 35 teladi;;;;;1.93;72 paranid 28 teladi;rest;65 paranid 35 teladi;
282;Moo Kye's Revenge V;;1450;2.77;100 teladi;;;0.15;100 teladi;0.141;100 teladi;0.85;45 paranid 55 teladi;0.66;100 teladi;8.09;45 paranid 55 teladi;;;;;1.64;68 teladi 32 boron;rest;45 paranid 55 teladi;
283;Moo Kye's Revenge VI;;1200;0.72;100 teladi;;;0.11;100 teladi;0.07;100 teladi;0.38;40 paranid 60 teladi;0.73;100 teladi;7.49;40 paranid 60 teladi;;;;;3.41;64 teladi 36 split;rest;40 paranid 60 teladi;
284;Moo Kye's Revenge VII;;1150;2.83;100 teladi;;;0.11;100 teladi;0.106;100 teladi;0.8;35 paranid 65 teladi;0.74;100 teladi;8.33;35 paranid 65 teladi;;;;;3.94;65 teladi 35 boron;rest;35 paranid 65 teladi;
285;Moo Kye's Revenge VIII;;900;2.31;100 paranid;;;0.15;100 paranid;0.079;100 paranid;0.36;45 paranid 45 teladi 10 argon;0.63;100 paranid;6.97;45 paranid 45 teladi 10 argon;;;;;1.28;100 paranid;rest;45 paranid 45 teladi 10 argon;
286;Moo Kye's Revenge IX;;1400;0.82;100 teladi;;;0.11;100 teladi;0.148;100 teladi;0.32;40 paranid 45 teladi 15 argon;0.26;100 teladi;7.73;40 paranid 45 teladi 15 argon;;;;;1.33;78 teladi 22 argon;rest;40 paranid 45 teladi 15 argon;
287;Mi Ton's Refuge I;SPP;2250;1.63;100 teladi;;;0.16;100 teladi;0.1;100 teladi;4.34;80 teladi 15 paranid 5 argon;0.72;100 teladi;6.39;80 teladi 15 paranid 5 argon;;;;;5.0;77 teladi 23 split;rest;80 teladi 15 paranid 5 argon;
288;Mi Ton's Refuge II;SPP;3500;2.06;100 teladi;;;0.13;100 teladi;0.067;100 teladi;4.88;95 teladi 5 paranid;0.53;100 teladi;7.46;95 teladi 5 paranid;;;;;2.74;69 teladi 31 argon;rest;95 teladi 5 paranid;
289;Mi Ton's Refuge III;SPP;2750;2.77;100 teladi;;;0.16;100 teladi;0.114;100 teladi;4.02;90 teladi 10 paranid;0.48;100 teladi;6.19;90 teladi 10 paranid;;;;;2.34;65 teladi 35 split;rest;90 teladi 10 paranid;
290;Mi Ton's Refuge IV;SPP;3250;1.44;100 teladi;;;0.18;100 teladi;0.097;100 teladi;4.81;90 teladi 5 paranid 5 argon;0.47;100 teladi;6.57;90 teladi 5 paranid 5 argon;;;;;4.63;74 teladi 26 split;rest;90 teladi 5 paranid 5 argon;
291;Mi Ton's Refuge V;SPP;4000;1.92;100 teladi;;;0.16;100 teladi;0.102;100 teladi;4.35;85 teladi 10 paranid 5 argon;0.39;100 teladi;7.63;85 teladi 10 paranid 5 argon;;;;;2.42;65 teladi 35 split;rest;85 teladi 10 paranid 5 argon;
292;Mi Ton's Refuge VI;SPP;4250;2.7;100 teladi;;;0.15;100 teladi;0.095;100 teladi;4.72;95 teladi 5 argon;0.27;100 teladi;6.89;95 teladi 5 argon;;;;;3.56;64 teladi 36 boron;rest;95 teladi 5 argon;
293;Loomanckstrat's Legacy I;;1200;2.49;100 teladi;;;0.12;100 teladi;0.066;100 teladi;0.67;80 teladi 15 paranid 5 argon;0.56;100 teladi;7.73;80 teladi 15 paranid 5 argon;;;;;3.51;67 teladi 33 argon;rest;80 teladi 15 paranid 5 argon;
294;Loomanckstrat's Legacy II;;1150;2.86;100 teladi;;;0.13;100 teladi;0.062;100 teladi;0.91;95 teladi 5 paranid;0.56;100 teladi;7.63;95 teladi 5 paranid;;;;;1.13;69 teladi 31 argon;rest;95 teladi 5 paranid;
295;Loomanckstrat's Legacy III;;900;1.66;100 teladi;;;0.2;100 teladi;0.11;100 teladi;0.76;90 teladi 10 paranid;0.29;100 teladi;7.09;90 teladi 10 paranid;;;;;1.59;100 teladi;rest;90 teladi 10 paranid;
296;Loomanckstrat's Legacy IV;;1400;2.13;100 teladi;;;0.13;100 teladi;0.063;100 teladi;0.55;90 teladi 5 paranid 5 argon;0.71;100 teladi;8.45;90 teladi 5 paranid 5 argon;;;;;3.33;70 teladi 30 argon;rest;90 teladi 5 paranid 5 argon;
297;Loomanckstrat's Legacy V;;1250;1.01;100 teladi;;;0.13;100 teladi;0.089;100 teladi;0.55;85 teladi 10 paranid 5 argon;0.7;100 teladi;7.9;85 teladi 10 paranid 5 argon;;;;;3.81;65 teladi 35 boron;rest;85 teladi 10 paranid 5 argon;
298;Loomanckstrat's Legacy VI;;850;2.3;100 teladi;;;0.15;100 teladi;0.106;100 teladi;0.88;95 teladi 5 argon;0.68;100 teladi;7.83;95 teladi 5 argon;;;;;1.63;100 teladi;rest;95 teladi 5 argon;
299;Loomanckstrat's Legacy VII;;950;2.55;100 teladi;;;0.15;100 teladi;0.129;100 teladi;0.3;100 teladi;0.52;100 teladi;7.62;100 teladi;;;;;1.35;100 teladi;rest;100 teladi;
300;Loomanckstrat's Legacy VIII;;1300;2.1;100 teladi;;;0.18;100 teladi;0.066;100 teladi;0.61;75 teladi 15 argon 10 paranid;0.44;100 teladi;8.41;75 teladi 15 argon 10 paranid;;;;;2.46;73 teladi 27 boron;rest;75 teladi 15 argon 10 paranid;
301;Loomanckstrat's Legacy IX;;1450;2.29;100 teladi;;;0.13;100 teladi;0.088;100 teladi;0.33;80 teladi 10 paranid 5 argon 5 split;0.49;100 teladi;8.02;80 teladi 10 paranid 5 argon 5 split;;;;;3.77;63 teladi 37 boron;rest;80 teladi 10 paranid 5 argon 5 split;
302;CEO's Doubt I;TEL;15500;1.03;100 teladi;;;0.78;100 teladi;0.061;100 teladi;1.84;100 teladi;0.86;100 teladi;16.5;100 teladi;;;;;;;rest;100 teladi;
303;CEO's Doubt II;TEL;15000;2.75;100 teladi;;;0.21;100 teladi;0.074;100 teladi;1.55;100 teladi;1.27;100 teladi;15.92;100 teladi;;;;;;;rest;100 teladi;
304;CEO's Doubt III;TEL;14250;2.95;100 teladi;;;0.67;100 teladi;0.147;100 teladi;1.83;100 teladi;1.24;100 teladi;16.87;100 teladi;;;;;;;rest;100 teladi;
305;CEO's Doubt IV;TEL;21250;2.94;100 teladi;;;0.54;100 teladi;0.123;100 teladi;1.39;100 teladi;1.23;100 teladi;17.76;100 teladi;;;;;;;rest;100 teladi;
306;CEO's Doubt V;TEL;17750;1.84;100 teladi;;;0.74;100 teladi;0.057;100 teladi;1.44;100 teladi;0.96;100 teladi;18.25;100 teladi;;;;;;;rest;100 teladi;
307;CEO's Doubt VI;TEL;16750;2.48;100 teladi;;;0.29;100 teladi;0.148;100 teladi;1.54;100 teladi;0.96;100 teladi;15.56;100 teladi;;;;;;;rest;100 teladi;
308;CEO's Doubt VII;TEL;16500;1.3;100 teladi;;;0.61;100 teladi;0.084;100 teladi;1.61;100 teladi;1.08;100 teladi;18.09;100 teladi;;;;;;;rest;100 teladi;
309;CEO's Doubt VIII;TEL;12500;2.77;100 teladi;;;0.77;100 teladi;0.107;100 teladi;1.23;100 teladi;0.8;100 teladi;15.18;100 teladi;;;;;;;rest;100 teladi;
310;CEO's Doubt IX;TEL;11500;2.64;100 teladi;;;0.6;100 teladi;0.129;100 teladi;1.05;100 teladi;0.73;100 teladi;16.66;100 teladi;;;;;;;rest;100 teladi;
311;Unholy Retribution I;GOD;33500;2.05;100 paranid;;;0.63;100 paranid;0.072;100 paranid;1.5;100 paranid;1.4;100 paranid;16.19;100 paranid;;;;;4.52;46 paranid 14 split 24 argon 16 teladi;rest;100 paranid;
312;Unholy Retribution II;GOD;31500;1.25;100 paranid;;;0.88;100 paranid;0.079;100 paranid;1.11;100 paranid;1.18;100 paranid;16.1;100 paranid;;;;;4.67;48 paranid 17 argon 11 teladi 24 split;rest;100 paranid;
313;Unholy Retribution III;GOD;28500;2.32;100 paranid;;;0.89;100 paranid;0.082;100 paranid;1.5;100 paranid;1.18;100 paranid;16.78;100 paranid;;;;;2.45;44 paranid 12 split 21 boron 23 teladi;rest;100 paranid;
314;Unholy Retribution IV;GOD;26500;2.65;100 paranid;;;0.63;100 paranid;0.11;100 paranid;1.14;100 paranid;1.25;100 paranid;17.18;100 paranid;;;;;4.46;41 paranid 17 split 23 teladi 19 argon;rest;100 paranid;
315;Unholy Retribution V;GOD;19950;3.3;100 paranid;;;0.85;100 paranid;0.147;100 paranid;1.61;100 paranid;1.13;100 paranid;15.99;100 paranid;;;;;3.23;42 paranid 29 boron 29 teladi;rest;100 paranid;
316;Unholy Retribution VI;GOD;21500;2.46;100 paranid;;;0.62;100 paranid;0.066;100 paranid;1.54;100 paranid;1.26;100 paranid;15.46;100 paranid;;;;;1.39;47 paranid 18 argon 17 teladi 18 boron;rest;100 paranid;
317;Unholy Retribution VII;GOD;26500;1.09;100 paranid;;;0.62;100 paranid;0.147;100 paranid;1.16;100 paranid;1.15;100 paranid;14.18;100 paranid;;;;;4.67;46 paranid 18 split 19 argon 17 teladi;rest;100 paranid;
318;Unholy Retribution VIII;GOD;24500;3.43;100 paranid;;;0.84;100 paranid;0.107;100 paranid;1.8;100 paranid;1.35;100 paranid;15.22;100 paranid;;;;;2.9;43 paranid 21 argon 12 split 24 boron;rest;100 paranid;
319;Nopileos' Fortune I;;19500;0.66;100 teladi;;;0.17;100 teladi;0.097;100 teladi;0.6;75 teladi 25 paranid;0.29;100 teladi;15.11;75 teladi 25 paranid;;;;;4.82;67 teladi 18 split 15 argon;rest;75 teladi 25 paranid;
320;Nopileos' Fortune II;BUC;25500;2.5;100 paranid;;;0.2;100 paranid;0.057;100 paranid;4.87;95 paranid 5 teladi;0.65;100 paranid;9.88;95 paranid 5 teladi;;;;;4.02;37 paranid 26 boron 24 argon 13 teladi;rest;95 paranid 5 teladi;
321;Nopileos' Fortune III;BUC;22750;0.93;100 paranid;;;0.16;100 paranid;0.121;100 paranid;3.61;95 paranid 5 teladi;0.38;100 paranid;10.81;95 paranid 5 teladi;;;;;1.57;43 paranid 17 argon 21 split 19 teladi;rest;95 paranid 5 teladi;
322;Nopileos' Fortune IV;BUC;21200;1.34;100 paranid;;;0.15;100 paranid;0.058;100 paranid;4.0;95 paranid 5 teladi;0.64;100 paranid;9.62;95 paranid 5 teladi;;;;;2.82;44 paranid 23 boron 16 argon 17 teladi;rest;95 paranid 5 teladi;
323;Nopileos' Fortune V;;17500;2.47;100 teladi;;;0.13;100 teladi;0.134;100 teladi;0.54;80 teladi 20 paranid;0.65;100 teladi;15.68;80 teladi 20 paranid;;;;;1.14;57 teladi 18 argon 25 boron;rest;80 teladi 20 paranid;
324;Nopileos' Fortune VI;;12450;0.85;100 teladi;;;0.16;100 teladi;0.077;100 teladi;0.78;85 teladi 15 paranid;0.73;100 teladi;13.11;85 teladi 15 paranid;;;;;4.5;50 teladi 23 split 27 boron;rest;85 teladi 15 paranid;
325;Nopileos' Fortune VII;;12750;0.87;100 teladi;;;0.2;100 teladi;0.132;100 teladi;0.51;90 teladi 10 paranid;0.34;100 teladi;13.85;90 teladi 10 paranid;;;;;1.69;54 teladi 22 split 24 boron;rest;90 teladi 10 paranid;
326;True Sight I;HOP;15500;2.55;100 paranid;;;0.79;100 paranid;0.125;100 paranid;1.57;100 paranid;1.4;100 paranid;13.38;100 paranid;;;;;3.56;55 paranid 17 teladi 28 boron;rest;100 paranid;
327;True Sight II;HOP;17500;3.17;100 paranid;;;0.86;100 paranid;0.087;100 paranid;1.47;100 paranid;1.14;100 paranid;14.42;100 paranid;;;;;3.74;57 paranid 26 teladi 17 boron;rest;100 paranid;
328;True Sight III;HOP;13500;3.52;100 paranid;;;0.66;100 paranid;0.079;100 paranid;1.2;100 paranid;1.21;100 paranid;12.79;100 paranid;;;;;3.92;58 paranid 17 split 25 teladi;rest;100 paranid;
329;True Sight IV;HOP;13750;3.07;100 paranid;;;0.82;100 paranid;0.107;100 paranid;1.96;100 paranid;1.1;100 paranid;14.27;100 paranid;;;;;2.81;54 paranid 24 split 22 boron;rest;100 paranid;
330;True Sight V;HOP;18000;3.84;100 paranid;;;0.82;100 paranid;0.096;100 paranid;1.32;100 paranid;1.25;100 paranid;15.1;100 paranid;;;;;4.56;42 paranid 31 teladi 27 argon;rest;100 paranid;
331;Scarlet Star I;;325;1.73;100 teladi;;;0.11;100 teladi;0.091;100 teladi;0.92;50 teladi 25 argon 25 paranid;0.29;100 teladi;4.42;50 teladi 25 argon 25 paranid;;;;;3.79;100 teladi;rest;50 teladi 25 argon 25 paranid;
332;Scarlet Star II;;225;2.87;100 teladi;;;0.18;100 teladi;0.149;100 teladi;0.7;55 teladi 20 argon 25 paranid;0.53;100 teladi;4.35;55 teladi 20 argon 25 paranid;;;;;1.07;100 teladi;rest;55 teladi 20 argon 25 paranid;
333;Scarlet Star III;;350;0.72;100 teladi;;;0.12;100 teladi;0.084;100 teladi;0.58;60 teladi 20 argon 20 paranid;0.72;100 teladi;4.97;60 teladi 20 argon 20 paranid;;;;;2.3;100 teladi;rest;60 teladi 20 argon 20 paranid;
334;Scarlet Star IV;;475;1.05;100 teladi;;;0.12;100 teladi;0.085;100 teladi;0.54;45 teladi 30 argon 25 paranid;0.64;100 teladi;5.92;45 teladi 30 argon 25 paranid;;;;;1.06;100 teladi;rest;45 teladi 30 argon 25 paranid;
335;Scarlet Star V;;175;1.82;100 teladi;;;0.11;100 teladi;0.124;100 teladi;0.44;50 teladi 30 argon 20 paranid;0.57;100 teladi;3.17;50 teladi 30 argon 20 paranid;;;;;4.65;100 teladi;rest;50 teladi 30 argon 20 paranid;
336;Scarlet Star VI;;175;1.23;100 teladi;;;0.17;100 teladi;0.095;100 teladi;0.35;55 teladi 30 argon 15 paranid;0.3;100 teladi;3.13;55 teladi 30 argon 15 paranid;;;;;1.51;100 teladi;rest;55 teladi 30 argon 15 paranid;
337;Void of Opportunity I;;575;2.32;100 teladi;;;0.11;100 teladi;0.076;100 teladi;0.48;50 teladi 25 argon 25 paranid;0.74;100 teladi;6.31;50 teladi 25 argon 25 paranid;;;;;2.79;100 teladi;rest;50 teladi 25 argon 25 paranid;
338;Void of Opportunity II;;425;2.1;100 teladi;;;0.2;100 teladi;0.092;100 teladi;0.96;55 teladi 20 argon 25 paranid;0.43;100 teladi;6.04;55 teladi 20 argon 25 paranid;;;;;4.6;100 teladi;rest;55 teladi 20 argon 25 paranid;
339;Void of Opportunity III;;200;1.81;100 teladi;;;0.1;100 teladi;0.062;100 teladi;0.37;60 teladi 20 argon 20 paranid;0.72;100 teladi;3.39;60 teladi 20 argon 20 paranid;;;;;3.04;100 teladi;rest;60 teladi 20 argon 20 paranid;
340;Void of Opportunity IV;;325;2.61;100 teladi;;;0.18;100 teladi;0.067;100 teladi;0.62;45 teladi 30 argon 25 paranid;0.32;100 teladi;4.66;45 teladi 30 argon 25 paranid;;;;;4.43;100 teladi;rest;45 teladi 30 argon 25 paranid;
341;Void of Opportunity V;;450;1.9;100 teladi;;;0.18;100 teladi;0.132;100 teladi;0.6;50 teladi 30 argon 20 paranid;0.4;100 teladi;5.25;50 teladi 30 argon 20 paranid;;;;;3.59;100 teladi;rest;50 teladi 30 argon 20 paranid;
342;Void of Opportunity VI;;175;1.28;100 teladi;;;0.16;100 teladi;0.097;100 teladi;0.5;55 teladi 30 argon 15 paranid;0.72;100 teladi;3.21;55 teladi 30 argon 15 paranid;;;;;4.59;100 teladi;rest;55 teladi 30 argon 15 paranid;
343;Void of Opportunity VII;;400;1.45;100 teladi;;;0.16;100 teladi;0.095;100 teladi;0.27;60 teladi 30 argon 10 paranid;0.62;100 teladi;5.08;60 teladi 30 argon 10 paranid;;;;;3.95;100 teladi;rest;60 teladi 30 argon 10 paranid;
344;Path to Profit I;TEL;13500;2.61;100 teladi;;;0.68;100 teladi;0.095;100 teladi;1.74;100 teladi;0.73;100 teladi;14.57;100 teladi;;;;;;;rest;100 teladi;
345;Path to Profit II;TEL;10600;2.75;100 teladi;;;0.58;100 teladi;0.068;100 teladi;1.52;100 teladi;0.92;100 teladi;16.37;100 teladi;;;;;;;rest;100 teladi;
346;Path to Profit III;TEL;11400;1.02;100 teladi;;;0.28;100 teladi;0.062;100 teladi;1.6;100 teladi;0.98;100 teladi;14.36;100 teladi;;;;;;;rest;100 teladi;
347;Path to Profit IV;TEL;17100;2.63;100 teladi;;;0.68;100 teladi;0.051;100 teladi;1.45;100 teladi;0.78;100 teladi;16.84;100 teladi;;;;;;;rest;100 teladi;
348;Path to Profit V;TEL;16850;2.92;100 teladi;;;0.41;100 teladi;0.109;100 teladi;1.91;100 teladi;0.75;100 teladi;18.34;100 teladi;;;;;;;rest;100 teladi;
349;Antigone Memorial I;ANT;17300;1.29;100 argon;;;0.78;100 argon;0.081;100 argon;1.52;100 argon;0.86;100 argon;14.64;100 argon;;;;;;;rest;100 argon;
350;Antigone Memorial II;ANT;22900;1.36;100 argon;;;0.75;100 argon;0.117;100 argon;1.68;100 argon;1.16;100 argon;16.89;100 argon;;;;;;;rest;100 argon;
351;Antigone Memorial III;ANT;17950;0.8;100 argon;;;0.87;100 argon;0.082;100 argon;1.22;100 argon;1.09;100 argon;14.87;100 argon;;;;;;;rest;100 argon;
352;Antigone Memorial IV;ANT;33050;1.3;100 argon;;;0.72;100 argon;0.128;100 argon;1.41;100 argon;1.04;100 argon;15.29;100 argon;;;;;;;rest;100 argon;
353;Antigone Memorial V;ANT;28900;1.25;100 argon;;;0.86;100 argon;0.143;100 argon;1.62;100 argon;1.14;100 argon;15.11;100 argon;;;;;;;rest;100 argon;
354;Antigone Memorial VI;ANT;16950;1.41;100 argon;;;0.62;100 argon;0.087;100 argon;1.92;100 argon;1.04;100 argon;15.37;100 argon;;;;;;;rest;100 argon;
355;Antigone Memorial VII;ANT;33550;0.54;100 argon;;;0.7;100 argon;0.112;100 argon;1.77;100 argon;1.07;100 argon;15.99;100 argon;;;;;;;rest;100 argon;
356;The Void I;ANT;19050;1.95;100 argon;;;0.8;100 argon;0.067;100 argon;1.82;100 argon;1.33;100 argon;14.72;100 argon;;;;;;;rest;100 argon;
357;The Void II;ANT;22300;1.27;100 argon;;;0.78;100 argon;0.11;100 argon;1.48;100 argon;0.9;100 argon;16.83;100 argon;;;;;;;rest;100 argon;
358;The Void III;ANT;34100;1.1;100 argon;;;0.85;100 argon;0.078;100 argon;1.76;100 argon;0.87;100 argon;17.76;100 argon;;;;;;;rest;100 argon;
359;The Void IV;ANT;17050;1.7;100 argon;;;0.66;100 argon;0.095;100 argon;1.8;100 argon;1.11;100 argon;16.05;100 argon;;;;;;;rest;100 argon;
360;The Void V;ANT;33900;1.34;100 argon;;;0.84;100 argon;0.132;100 argon;1.79;100 argon;1.0;100 argon;17.79;100 argon;;;;;;;rest;100 argon;
361;The Void VI;ANT;34200;1.24;100 argon;;;0.84;100 argon;0.137;100 argon;1.15;100 argon;1.13;100 argon;15.19;100 argon;;;;;;;rest;100 argon;
362;The Void VII;ANT;28000;1.54;100 argon;;;0.64;100 argon;0.092;100 argon;1.75;100 argon;1.4;100 argon;15.2;100 argon;;;;;;;rest;100 argon;
363;Second Contact I;ANT;16600;0.6;100 argon;;;0.64;100 argon;0.118;100 argon;1.96;100 argon;1.46;100 argon;13.91;100 argon;;;;;;;rest;100 argon;
364;Second Contact II;ANT;22250;1.31;100 argon;;;0.77;100 argon;0.105;100 argon;1.78;100 argon;1.37;100 argon;15.31;100 argon;;;;;;;rest;100 argon;
365;Second Contact III;ANT;16550;1.12;100 argon;;;0.89;100 argon;0.088;100 argon;1.67;100 argon;1.44;100 argon;15.34;100 argon;;;;;;;rest;100 argon;
366;Second Contact IV;ANT;33250;1.94;100 argon;;;0.78;100 argon;0.058;100 argon;1.01;100 argon;0.96;100 argon;17.08;100 argon;;;;;;;rest;100 argon;
367;Second Contact V;ANT;19350;1.89;100 argon;;;0.73;100 argon;0.055;100 argon;1.35;100 argon;1.04;100 argon;13.97;100 argon;;;;;;;rest;100 argon;
368;Second Contact VI;ANT;24500;0.9;100 argon;;;0.75;100 argon;0.065;100 argon;1.05;100 argon;0.88;100 argon;15.25;100 argon;;;;;;;rest;100 argon;
369;Second Contact VII;ANT;28750;1.21;100 argon;;;0.84;100 argon;0.092;100 argon;1.7;100 argon;1.0;100 argon;15.92;100 argon;;;;;;;rest;100 argon;
370;Second Contact VIII;ANT;19750;0.69;100 argon;;;0.76;100 argon;0.079;100 argon;1.61;100 argon;0.98;100 argon;14.71;100 argon;;;;;;;rest;100 argon;
371;Second Contact IX;ANT;32700;1.15;100 argon;;;0.76;100 argon;0.069;100 argon;1.92;100 argon;0.97;100 argon;16.26;100 argon;;;;;;;rest;100 argon;
372;Second Contact X;ANT;18850;1.72;100 argon;;;0.78;100 argon;0.079;100 argon;1.09;100 argon;1.03;100 argon;14.79;100 argon;;;;;;;rest;100 argon;
373;Second Contact XI;ANT;33700;1.85;100 argon;;;0.88;100 argon;0.084;100 argon;1.52;100 argon;1.46;100 argon;15.42;100 argon;;;;;;;rest;100 argon;
374;Second Contact XII;ANT;25100;1.21;100 argon;;;0.84;100 argon;0.126;100 argon;1.98;100 argon;1.16;100 argon;15.39;100 argon;;;;;;;rest;100 argon;
375;Black Hole Sun I;AGN;38350;0.98;100 argon;;;0.85;100 argon;0.131;100 argon;1.86;100 argon;1.43;100 argon;15.54;100 argon;;;;;;;rest;100 argon;
376;Black Hole Sun II;AGN;25900;0.79;100 argon;;;0.68;100 argon;0.129;100 argon;1.12;100 argon;1.17;100 argon;16.77;100 argon;;;;;;;rest;100 argon;
377;Black Hole Sun III;AGN;23400;1.43;100 argon;;;0.78;100 argon;0.106;100 argon;1.4;100 argon;1.32;100 argon;16.52;100 argon;;;;;;;rest;100 argon;
378;Black Hole Sun IV;AGN;39050;1.89;100 argon;;;0.85;100 argon;0.054;100 argon;1.99;100 argon;1.27;100 argon;15.28;100 argon;;;;;;;rest;100 argon;
379;Black Hole Sun V;AGN;38700;0.69;100 argon;;;0.82;100 argon;0.133;100 argon;1.34;100 argon;1.21;100 argon;15.36;100 argon;;;;;;;rest;100 argon;
